province,sex,age_group,population,source,country_iso3
Hormozgan,Female,80-84,4922,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Hormozgan,Male,85-89,3799,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Hormozgan,Female,85-89,2874,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Hormozgan,Male,90-94,1098,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Hormozgan,Female,90-94,1186,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Hormozgan,Male,95-99,251,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Hormozgan,Female,95-99,313,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Hormozgan,Male,100 and over,137,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Hormozgan,Female,100 and over,188,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Ilam,Both,All Ages,580158,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Ilam,Male,All Ages,295199,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Ilam,Female,All Ages,284959,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Ilam,Male,0-4,25315,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Ilam,Female,0-4,23719,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Ilam,Male,5-9,22965,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Ilam,Female,5-9,21785,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Ilam,Male,10-14,20945,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Ilam,Female,10-14,19847,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Ilam,Male,15-19,19467,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Ilam,Female,15-19,17858,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Ilam,Male,20-24,26813,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Ilam,Female,20-24,25077,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Ilam,Male,25-29,34731,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Ilam,Female,25-29,33871,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Ilam,Male,30-34,33190,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Ilam,Female,30-34,32849,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Ilam,Male,35-39,25568,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Ilam,Female,35-39,25509,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Ilam,Male,40-44,20703,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Ilam,Female,40-44,20114,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Ilam,Male,45-49,17847,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Ilam,Female,45-49,17739,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Ilam,Male,50-54,11477,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Ilam,Female,50-54,11905,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Ilam,Male,55-59,10962,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Ilam,Female,55-59,10542,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Ilam,Male,60-64,8481,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Ilam,Female,60-64,8335,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Ilam,Male,65-69,5776,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Ilam,Female,65-69,6928,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Ilam,Male,70-74,3096,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Ilam,Female,70-74,3388,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Ilam,Male,75-79,3151,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Ilam,Female,75-79,2439,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Ilam,Male,80-84,2477,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Ilam,Female,80-84,1727,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Ilam,Male,85-89,1736,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Ilam,Female,85-89,969,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Ilam,Male,90-94,405,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Ilam,Female,90-94,248,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Ilam,Male,95-99,64,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Ilam,Female,95-99,71,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Ilam,Male,100 and over,30,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Ilam,Female,100 and over,39,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kermanshah,Both,All Ages,1952434,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kermanshah,Male,All Ages,988015,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kermanshah,Female,All Ages,964419,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kermanshah,Male,0-4,79740,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kermanshah,Female,0-4,72831,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kermanshah,Male,5-9,73649,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kermanshah,Female,5-9,68204,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kermanshah,Male,10-14,67684,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kermanshah,Female,10-14,63593,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kermanshah,Male,15-19,67840,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kermanshah,Female,15-19,61742,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kermanshah,Male,20-24,86825,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kermanshah,Female,20-24,81015,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kermanshah,Male,25-29,107584,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kermanshah,Female,25-29,104032,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kermanshah,Male,30-34,105134,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kermanshah,Female,30-34,104624,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kermanshah,Male,35-39,80527,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kermanshah,Female,35-39,81305,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kermanshah,Male,40-44,67969,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kermanshah,Female,40-44,67681,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kermanshah,Male,45-49,62604,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kermanshah,Female,45-49,63165,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kermanshah,Male,50-54,49639,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kermanshah,Female,50-54,51251,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kermanshah,Male,55-59,43488,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kermanshah,Female,55-59,44607,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
