Average expenses and percentage distribution	Expenditure quintile	Expenditure codes (2 digits)	Period	Total
Average expenditure per person	Quintile 2	04 Housing, water, electricity, gas and other fuels	2008	2,551.81
Average expenditure per person	Quintile 2	04 Housing, water, electricity, gas and other fuels	2007	2,411.33
Average expenditure per person	Quintile 2	04 Housing, water, electricity, gas and other fuels	2006	2,255.80
Average expenditure per person	Quintile 2	05 Furnishings, household equipment and routine household maintenance	2023	313.28
Average expenditure per person	Quintile 2	05 Furnishings, household equipment and routine household maintenance	2022	297.87
Average expenditure per person	Quintile 2	05 Furnishings, household equipment and routine household maintenance	2021	295.68
Average expenditure per person	Quintile 2	05 Furnishings, household equipment and routine household maintenance	2020	273.74
Average expenditure per person	Quintile 2	05 Furnishings, household equipment and routine household maintenance	2019	291.65
Average expenditure per person	Quintile 2	05 Furnishings, household equipment and routine household maintenance	2018	310.01
Average expenditure per person	Quintile 2	05 Furnishings, household equipment and routine household maintenance	2017	295.59
Average expenditure per person	Quintile 2	05 Furnishings, household equipment and routine household maintenance	2016	278.96
Average expenditure per person	Quintile 2	05 Furnishings, household equipment and routine household maintenance	2015	257.81
Average expenditure per person	Quintile 2	05 Furnishings, household equipment and routine household maintenance	2014	252.08
Average expenditure per person	Quintile 2	05 Furnishings, household equipment and routine household maintenance	2013	237.41
Average expenditure per person	Quintile 2	05 Furnishings, household equipment and routine household maintenance	2012	254.02
Average expenditure per person	Quintile 2	05 Furnishings, household equipment and routine household maintenance	2011	276.36
Average expenditure per person	Quintile 2	05 Furnishings, household equipment and routine household maintenance	2010	292.09
Average expenditure per person	Quintile 2	05 Furnishings, household equipment and routine household maintenance	2009	294.34
Average expenditure per person	Quintile 2	05 Furnishings, household equipment and routine household maintenance	2008	345.60
Average expenditure per person	Quintile 2	05 Furnishings, household equipment and routine household maintenance	2007	342.44
Average expenditure per person	Quintile 2	05 Furnishings, household equipment and routine household maintenance	2006	321.55
Average expenditure per person	Quintile 2	06 Health	2023	292.40
Average expenditure per person	Quintile 2	06 Health	2022	292.39
Average expenditure per person	Quintile 2	06 Health	2021	284.78
Average expenditure per person	Quintile 2	06 Health	2020	231.35
Average expenditure per person	Quintile 2	06 Health	2019	245.63
Average expenditure per person	Quintile 2	06 Health	2018	236.36
Average expenditure per person	Quintile 2	06 Health	2017	239.02
Average expenditure per person	Quintile 2	06 Health	2016	231.70
Average expenditure per person	Quintile 2	06 Health	2015	204.24
Average expenditure per person	Quintile 2	06 Health	2014	185.02
Average expenditure per person	Quintile 2	06 Health	2013	187.83
Average expenditure per person	Quintile 2	06 Health	2012	186.32
Average expenditure per person	Quintile 2	06 Health	2011	170.80
Average expenditure per person	Quintile 2	06 Health	2010	180.00
Average expenditure per person	Quintile 2	06 Health	2009	179.47
Average expenditure per person	Quintile 2	06 Health	2008	191.83
Average expenditure per person	Quintile 2	06 Health	2007	183.31
Average expenditure per person	Quintile 2	06 Health	2006	171.92
Average expenditure per person	Quintile 2	07 Transport	2023	724.44
Average expenditure per person	Quintile 2	07 Transport	2022	716.01
Average expenditure per person	Quintile 2	07 Transport	2021	591.05
Average expenditure per person	Quintile 2	07 Transport	2020	488.91
Average expenditure per person	Quintile 2	07 Transport	2019	746.48
Average expenditure per person	Quintile 2	07 Transport	2018	713.03
Average expenditure per person	Quintile 2	07 Transport	2017	723.35
Average expenditure per person	Quintile 2	07 Transport	2016	659.92
Average expenditure per person	Quintile 2	07 Transport	2015	644.80
Average expenditure per person	Quintile 2	07 Transport	2014	651.03
Average expenditure per person	Quintile 2	07 Transport	2013	662.46
Average expenditure per person	Quintile 2	07 Transport	2012	706.02
Average expenditure per person	Quintile 2	07 Transport	2011	679.42
Average expenditure per person	Quintile 2	07 Transport	2010	667.90
Average expenditure per person	Quintile 2	07 Transport	2009	662.78
Average expenditure per person	Quintile 2	07 Transport	2008	737.57
Average expenditure per person	Quintile 2	07 Transport	2007	697.93
Average expenditure per person	Quintile 2	07 Transport	2006	656.58
Average expenditure per person	Quintile 2	08 Communication	2023	317.61
Average expenditure per person	Quintile 2	08 Communication	2022	337.34
Average expenditure per person	Quintile 2	08 Communication	2021	340.76
Average expenditure per person	Quintile 2	08 Communication	2020	337.24
Average expenditure per person	Quintile 2	08 Communication	2019	337.78
Average expenditure per person	Quintile 2	08 Communication	2018	340.30
Average expenditure per person	Quintile 2	08 Communication	2017	333.07
Average expenditure per person	Quintile 2	08 Communication	2016	314.14
Average expenditure per person	Quintile 2	08 Communication	2015	283.45
Average expenditure per person	Quintile 2	08 Communication	2014	278.18
Average expenditure per person	Quintile 2	08 Communication	2013	283.92
Average expenditure per person	Quintile 2	08 Communication	2012	292.73
Average expenditure per person	Quintile 2	08 Communication	2011	294.96
Average expenditure per person	Quintile 2	08 Communication	2010	294.17
Average expenditure per person	Quintile 2	08 Communication	2009	300.70
Average expenditure per person	Quintile 2	08 Communication	2008	295.46
Average expenditure per person	Quintile 2	08 Communication	2007	277.86
Average expenditure per person	Quintile 2	08 Communication	2006	245.55
Average expenditure per person	Quintile 2	09 Recreation and culture	2023	333.65
Average expenditure per person	Quintile 2	09 Recreation and culture	2022	325.67
Average expenditure per person	Quintile 2	09 Recreation and culture	2021	264.84
Average expenditure per person	Quintile 2	09 Recreation and culture	2020	236.89
Average expenditure per person	Quintile 2	09 Recreation and culture	2019	329.32
Average expenditure per person	Quintile 2	09 Recreation and culture	2018	336.74
Average expenditure per person	Quintile 2	09 Recreation and culture	2017	340.10
Average expenditure per person	Quintile 2	09 Recreation and culture	2016	321.03
Average expenditure per person	Quintile 2	09 Recreation and culture	2015	338.73
Average expenditure per person	Quintile 2	09 Recreation and culture	2014	311.87
Average expenditure per person	Quintile 2	09 Recreation and culture	2013	315.04
Average expenditure per person	Quintile 2	09 Recreation and culture	2012	353.97
Average expenditure per person	Quintile 2	09 Recreation and culture	2011	381.30
Average expenditure per person	Quintile 2	09 Recreation and culture	2010	406.30
Average expenditure per person	Quintile 2	09 Recreation and culture	2009	424.39
Average expenditure per person	Quintile 2	09 Recreation and culture	2008	444.14
Average expenditure per person	Quintile 2	09 Recreation and culture	2007	433.80
Average expenditure per person	Quintile 2	09 Recreation and culture	2006	396.18
Average expenditure per person	Quintile 2	10 Education	2023	94.15
Average expenditure per person	Quintile 2	10 Education	2022	96.32
Average expenditure per person	Quintile 2	10 Education	2021	85.02
Average expenditure per person	Quintile 2	10 Education	2020	78.88
Average expenditure per person	Quintile 2	10 Education	2019	94.57
Average expenditure per person	Quintile 2	10 Education	2018	96.20
Average expenditure per person	Quintile 2	10 Education	2017	89.99
Average expenditure per person	Quintile 2	10 Education	2016	73.32
Average expenditure per person	Quintile 2	10 Education	2015	69.84
Average expenditure per person	Quintile 2	10 Education	2014	73.91
Average expenditure per person	Quintile 2	10 Education	2013	66.22
Average expenditure per person	Quintile 2	10 Education	2012	58.42
Average expenditure per person	Quintile 2	10 Education	2011	55.05
Average expenditure per person	Quintile 2	10 Education	2010	58.81
Average expenditure per person	Quintile 2	10 Education	2009	58.51
Average expenditure per person	Quintile 2	10 Education	2008	55.59
Average expenditure per person	Quintile 2	10 Education	2007	51.27
Average expenditure per person	Quintile 2	10 Education	2006	43.78
Average expenditure per person	Quintile 2	11 Restaurants and hotels	2023	676.56
Average expenditure per person	Quintile 2	11 Restaurants and hotels	2022	604.50
Average expenditure per person	Quintile 2	11 Restaurants and hotels	2021	445.97
Average expenditure per person	Quintile 2	11 Restaurants and hotels	2020	315.60
Average expenditure per person	Quintile 2	11 Restaurants and hotels	2019	646.50
Average expenditure per person	Quintile 2	11 Restaurants and hotels	2018	616.72
Average expenditure per person	Quintile 2	11 Restaurants and hotels	2017	628.66
Average expenditure per person	Quintile 2	11 Restaurants and hotels	2016	578.17
Average expenditure per person	Quintile 2	11 Restaurants and hotels	2015	547.01
Average expenditure per person	Quintile 2	11 Restaurants and hotels	2014	497.76
Average expenditure per person	Quintile 2	11 Restaurants and hotels	2013	490.50
Average expenditure per person	Quintile 2	11 Restaurants and hotels	2012	548.88
Average expenditure per person	Quintile 2	11 Restaurants and hotels	2011	582.69
Average expenditure per person	Quintile 2	11 Restaurants and hotels	2010	585.76
Average expenditure per person	Quintile 2	11 Restaurants and hotels	2009	642.39
Average expenditure per person	Quintile 2	11 Restaurants and hotels	2008	687.32
Average expenditure per person	Quintile 2	11 Restaurants and hotels	2007	714.80
Average expenditure per person	Quintile 2	11 Restaurants and hotels	2006	654.26
Average expenditure per person	Quintile 2	12 Other goods and services	2023	665.75
Average expenditure per person	Quintile 2	12 Other goods and services	2022	662.13
Average expenditure per person	Quintile 2	12 Other goods and services	2021	632.73
Average expenditure per person	Quintile 2	12 Other goods and services	2020	576.60
Average expenditure per person	Quintile 2	12 Other goods and services	2019	627.27
Average expenditure per person	Quintile 2	12 Other goods and services	2018	610.57
Average expenditure per person	Quintile 2	12 Other goods and services	2017	604.37
Average expenditure per person	Quintile 2	12 Other goods and services	2016	594.75
Average expenditure per person	Quintile 2	12 Other goods and services	2015	526.19
Average expenditure per person	Quintile 2	12 Other goods and services	2014	516.28
