Type of data	Macroeconomic aggregates: Nivel 1	Macroeconomic aggregates: Nivel 2	Levels and rates	Period	Total
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2008QIV	11.0921
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2008QIII	-4.6188
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2008QII	12.5626
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2008QI	16.4465
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2007QIV	23.7409
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2007QIII	27.7920
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2007QII	-2.7465
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2007QI	14.9427
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2006QIV	13.3457
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2006QIII	11.7710
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2006QII	18.9859
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2006QI	0.3196
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2005QIV	-0.2391
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2005QIII	8.0712
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2005QII	6.9327
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2005QI	10.5796
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2004QIV	17.6298
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2004QIII	3.0769
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2004QII	7.5273
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2004QI	1.5432
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2003QIV	3.2198
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2003QIII	3.8977
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2003QII	-4.5581
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2003QI	11.4682
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2002QIV	11.0167
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2002QIII	-0.4651
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2002QII	16.6060
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2002QI	-0.1066
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2001QIV	3.5655
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2001QIII	21.7916
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2001QII	19.6997
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2001QI	24.8877
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2000QIV	17.1733
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2000QIII	9.5168
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2000QII	3.2683
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	2000QI	14.2341
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	1999QIV	-2.2079
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	1999QIII	2.1852
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	1999QII	2.6884
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	1999QI	-5.3257
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	1998QIV	0.0696
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	1998QIII	6.2002
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	1998QII	3.3994
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	1998QI	9.5604
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	1997QIV	7.8020
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	1997QIII	6.6100
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	1997QII	6.3854
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	1997QI	4.7924
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	1996QIV	10.8063
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	1996QIII	2.4971
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	1996QII	4.9624
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	1996QI	-0.2267
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	1995QIV	""
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	1995QIII	""
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	1995QII	""
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Annual variation	1995QI	""
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Real estate activities (L, NACE Rev. 2)	Base data	2025QIV	""
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Real estate activities (L, NACE Rev. 2)	Base data	2025QIII	""
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Real estate activities (L, NACE Rev. 2)	Base data	2025QII	""
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Real estate activities (L, NACE Rev. 2)	Base data	2025QI	""
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Real estate activities (L, NACE Rev. 2)	Base data	2024QIV	""
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Real estate activities (L, NACE Rev. 2)	Base data	2024QIII	""
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Real estate activities (L, NACE Rev. 2)	Base data	2024QII	37,977
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Real estate activities (L, NACE Rev. 2)	Base data	2024QI	36,506
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Real estate activities (L, NACE Rev. 2)	Base data	2023QIV	36,096
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Real estate activities (L, NACE Rev. 2)	Base data	2023QIII	34,177
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Real estate activities (L, NACE Rev. 2)	Base data	2023QII	36,282
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Real estate activities (L, NACE Rev. 2)	Base data	2023QI	34,935
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Real estate activities (L, NACE Rev. 2)	Base data	2022QIV	35,647
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Real estate activities (L, NACE Rev. 2)	Base data	2022QIII	34,865
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Real estate activities (L, NACE Rev. 2)	Base data	2022QII	35,692
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Real estate activities (L, NACE Rev. 2)	Base data	2022QI	33,631
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Real estate activities (L, NACE Rev. 2)	Base data	2021QIV	34,229
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Real estate activities (L, NACE Rev. 2)	Base data	2021QIII	33,608
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Real estate activities (L, NACE Rev. 2)	Base data	2021QII	34,268
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Real estate activities (L, NACE Rev. 2)	Base data	2021QI	31,791
Seasonally and calendar unadjusted data	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Real estate activities (L, NACE Rev. 2)	Base data	2020QIV	34,114
