"United Nations: Demographic Yearbook, Historical supplement - Nations Unies: Annuaire démographique, supplément rétrospectif",,,,,,,,,,,,,,,,,,

"2. Population by sex, residence, and intercensal rates of increase for total population, each census: 1948-1997",,,,,,,,,,,,,,,,,,
"Population selon le sexe, résidence et taux d'accroissement intercensitaire pour la population totale, chaque recensement: 1948-1997",,,,,,,,,,,,,,,,,,

(See notes at end of table. - Voir notes à la fin du tableau.),,,,,,,,,,,,,,,,,,

"Continent, country or area and date",,,Source[a],Enumerated population,,,,,,Annual rate,,Urban population,,,,Rural population,,
"[45] For 1981, data exclude adjustment for underenumeration, estimated at 6.85 per cent. - Pour 1981, les données n'ont pas été ajustées pour compenser les lacunes du dénombrement, estimées à 6,85 p. 100."
[46] Excluding semi-urban. - Non compris semi-urbaine.
[47] Excluding nomads. - Non compris les nomades.
"[48] Data exclude adjustment for underenumeration, estimated at 5.0 per cent for urban population and 10.0 per cent for rural population. - Les données n'ont pas été ajustées pour compenser les lacunes du dénombrement, estimées à 5,0 p. 100 pour la population urbaine et 10,0 p.100 pour la population rurale."
"[49] For 1974, excluding adjustment for underenumeration estimated at 6.88 per cent. - Pour 1974, les données n'ont pas été ajustées pour compenser les lacunes du dénombrement, estimées à 6,88 p. 100."
"[50] For 1981, data exclude adjustment for underenumeration, estimated at 3.1 per cent. - Pour 1981, les données n'ont pas été ajustées pour compenser les lacunes du dénombrement, estimées à 3,1 p. 100."
"[51] Pour 1981, data exclude adjustment for underenumeration, estimated at 1.06 per cent. - Pour 1981, les données n'ont pas été ajustées pour compenser les lacunes du dénombrement, estimées à 1,06 p. 100."
"[52] Estimate based on results of a sample survey, in 3 460 villages in 1958 and in 345 villages in 1959, supplemented by administrative reports. - Estimation fondée sur les résultats d'une enquête par sondage ayant porté sur 3 460 villages en 1958 et 345 villages en 1959, complétée par des rapports administratifs."
[53] Excluding foreign diplomatic personnel and their dependants. - Non compris le personnel diplomatique étranger et les membres de leur famille les accompagnant.
[54] Covering only the civilian population of 29 provinces municipalities and autonomous regions. - Pour la population civile seulement de 29 provinces.
"[55] For 1953, population registered. Figure for total population includes an estimate of 7 591 298 for Taiwan Province and 8 397 477 for persons living in outlying areas where local registration offices were not established. No adjustment has been made for 0.1 per cent estimated net underenumeration. Source: Communiqu‚ issued 1 November 1954 by the State Statistical Bureau concerning the result of the National Population Census and Registration, published in Jen-min Jih-pao (People's Daily), Beijing, 1 November 1954. - Pour 1953, population enregistrée. Le chiffre pour la population totale tient compte d'une estimation de 7 591 298 personnes pour la Province de Taiwan et de 8 397 477 personnes pour les régions périphériques où il n'existe pas de bureau d'état civil. Il n'y a pas eu d'ajustement pour tenir compte du sous-dénombrement, estimé à 0,1 p. 100 net. Source: Communiqué du 1er novembre 1954 émanant du Bureau de statistique de l'état concernent le résultat du recensement et de l'enregistrement nationaux de la population, publié à 'Jen-min Jih-pao (People's Daily)', Beijing, le 1er novembre 1954."
"[56] For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR). - Pour la présentation des statistiques, les données pour Chine ne comprennent pas la Région Administrative Spéciale de Hong-Kong (Hong Kong SAR)."
"[57] Beginning 1986, for government controlled areas. - A partir de 1986, pour les zones contrôlées par le Gouvernement."
"[58] Including data for the Indian-held part of Jammu and Kashmir, the final status of which has not yet been determined. - Y compris les données pour la partie du Jammu et du Cachemire occupée par l'Inde dont le statut définitif n'a pas encore été déterminé."
"[59] For 1961, excluding West Irian. - Pour 1961, non compris l'Irian occidental."
[60] Including data for East Jerusalem and Israeli residents in certain other territories under occupation by Israeli military forces since June 1967. - Y compris les données pour Jérusalem-Est et les résidents israéliens dans certains autres territoires occupés depuis 1967 par les forces armées israéliennes.
[61] Excluding diplomatic personnel outside country and foreign military and civilian personnel and their dependants stationed in the area. - Non compris le personnel diplomatique hors du pays ni les militaires et agents civils étrangers en poste sur le territoire et les membres de leur famille les accompagnant.
"[62] Prior to 1950, excluding Tokara Archipelago and Amami Islands, not under the administration of Japan after 2 September 1945 but which reverted to Japan on 5 December 1951 and 25 December 1953 respectively. Prior to 1970, excluding Okinawa. - Pour les années antérieures à 1950, non compris l'archipel des Tokara et les îles Amami qui ont cessé d'être administrés par le Japon le 2 septembre 1945, mais lui ont été restitués le 5 décembre 1951 et le 25 decembre 1953 respectivement. Pour les années antérieures à 1970, non compris Okinawa."
"[63] Including military and diplomatic personnel and their families abroad, numbering 933 at 1961 census, but excluding foreign military and diplomatic personnel and their families in the country, numbering 389 at 1961 census. Also including registered Palestinian refugees numbering 722 687 at 31 May 1967. - Y compris les militaires et le personnel diplomatique à l'étranger et les membres de leur famille les accompagnant au nombre de 933 au recensement de 1961, mais non compris les militaires et le personnel diplomatique étranger en poste dans le pays et les membres de leur famille les accompagnant au nombre de 389 au recensement de 1961. Y compris également les réfugiés de Palestine immatriculés, au nombre de 722 687 au 31 mai 1967."
[64] Excluding data for Jordanian territory under occupation since June 1967 by Israeli military forces. - Non compris les données pour le territoire jordanien occupé depuis juin 1967 par les forces armées israéliennes.
"[65] Excluding alien armed forces, civilian aliens employed by armed forces, foreign diplomatic personnel and their dependants and Korean diplomatic personnel and their dependants outside the country. - Non compris les militaires étrangers, les civils étrangers employés par les forces armées, le personnel diplomatique étranger et les membres de leur famille les accompagnant et le personnel diplomatique coréen hors du pays et les membres de leurs familles les accompagnant."
"[66] For 1983, excluding 1 183 005 persons from areas restricted by security reasons. - Pour 1983, non compris 1 183 005 personnes des zones limitées pour raisons de sécurité."
"[67] Excluding data for Jammu and Kashmir, the final status of which has not yet been determined, Junagardh, Manavadar, Gilgit and Baltistan. - Non compris les données pour le Jammu et Cachemire dont le statut définitif n'a pas encore été déterminé, le Junagardh, le Manavadar, le Gilgit et le Baltistan."
"[68] Excluding transients afloat and non-locally domiciled military and civilian services personnel and their dependants and visitors, numbering 5 553, 5 187 and 8 985 respectively at 1980 census. - Non compris les personnes de passage à bord de navires ni les militaires et agents civils non-résidents et les membres de leur famille les accompagnant et visiteurs, au nombre de 5 553, 5 187 et 8 985 personnes respectivement au recensement de 1980."
[69] Including Palestinian refugees. - Y compris les réfugiés de Palestine.
"[70] For 1970, data exclude adjustment for underenumeration, estimated at 2.01 per cent. - Pour 1970, les données n'ont pas été ajustées pour compenser les lacunes du dénombrement, estimées à 2,01 p. 100."
"[71] For 1980, data exclude adjustment for underenumeration, estimated at 3.2 per cent. - Pour 1980, les données n'ont pas été ajustées pour compenser les lacunes du dénombrement, estimées à 3,2 p. 100."
[72] The figures were received from the Palestinian Authority and refer to the Palestinian population. - Les chiffres sont fournis par l'autorité Palistinienne et comprend la population Palestienne.
"[73] Data exclude adjustment for underenumeration, estimated at 2.4 per cent. - Les données n'ont pas été ajustées pour compenser les lacunes du dénombrement, estimées à 2,4 p. 100."
[74] Excluding the Faeroe Islands and Greenland. - Non compris les îles Féroé et Groenland.
"[75] De jure population but excluding diplomatic personnel outside country and including members of alien armed forces not living in military camps and foreign diplomatic personnel not living in embassies or consulate. - Population de droit, non compris le personnel diplomatique hors du pays et y compris les militaires étrangers ne vivant pas dans des camps militaires et le personnel diplomatique étranger ne vivant pas dans les ambassades ou les consulats."
[76] All data shown pertaining to Germany prior to 3 October 1990 are indicated separately for the Federal Republic of Germany and the former German Democratic Republic based on their respective territories at the time indicated. - Toutes les données se rapportant à l'Allemagne avant le 3 octobre 1990 figurent dans deux rubriques séparées basées sur les territoires respectifs de la République fédérale de l'Allemagne et l'ancienne République démocratique allemande selon la période.
[77] Excluding armed forces. - Non compris les militaires en garnison.
"[78] Excluding families of military personnel, visitors and transients. - Non compris les familles des militaires, ni les visiteurs et transients."
"[79] Including armed forces stationed outside the country, but excluding alien armed forces stationed in the area. - Y compris les militaires hors du pays, mais non compris les militaires étrangers en garnison sur le territoire."
[80] Data refer to the Vatican City State. - Les données se rapportent aux Etat du Saint -Siège.
[81] Including civilian nationals temporarily outside the country. - Y compris les civils nationaux temporairement hors du pays.
"[82] Excluding civilian aliens within country, but including civilian nationals temporarily outside country. - Non compris les civils étrangers dans le pays, mais y compris les civils nationaux temporairement hors du pays."
"[83] Prior to 1966, excluding full-blooded aborigines estimated at 39 319 in June 1954, 40 081 in June 1961 and armed forces stationed outside country numbering 48 106 in May 1959. In 1966, data exclude persons describing themselves as being more than 50 per cent aboriginal or simply as aboriginal. - Antérieurement à 1966, non compris les aborigènes purs estimés à 39 319 en juin 1954, 40 081 en juin 1961; non compris également les militaires en garnison hors du pays, au nombre de 48 106 en mai 1959. En 1966, les données ne comprennent pas les personnes qui se disent aborigènes à plus de 50 p. 100 ou simplement aborigènes."
[84] Including Tuvalu. - Y compris Tuvalu.
"[85] Excluding diplomatic personnel and armed forces stationed outside country, the latter numbering 1 936 at 1966 census; also excluding alien armed forces within the country. - Non compris le personnel diplomatique et les militaires hors du pays, ces derniers étant au nombre de 1 936 au recensement de 1966; non compris également les militaires étrangers en garnison dans le pays."
