"United Nations: Demographic Yearbook, Historical supplement - Nations Unies: Annuaire démographique, supplément rétrospectif",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"3. Population by age, sex, and urban/rural residence, each census: 1948-1997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Population selon l'âge, le sexe et la résidence, urbaine/rurale, chaque recensement: 1948-1997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

(See notes at end of table. - Voir notes à la fin du tableau.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"Continent, country or area,",,,,,Source[a],Code[b],Age (in years) - Age (en années),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"residence, sex and date",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"Continent, pays ou zone,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"résidence, sexe et date",,,,,,,All ages, -1,, 1-4,, 5-9,, 10-14,, 15-19,, 20-24,, 25-29,, 30-34,, 35-39,, 40-44,, 45-49,, 50-54,, 55-59,, 60-64,, 65-69,, 70-74,, 75-79,, 80-84,, 85-89,, 90-94,, 95-99,, 100+,,Unknown
,,,1 VII 1970,,Edf,C,404300,10600,,43750,,58600,,52550,,48850,,37050,,25100,,22450,,18700,,19700,,17000,,12550,,11350,,8200,,7100,,5050,,3550,,1700,,450,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1971,,Edf,C,409400,9600,,41800,,59800,,53000,,48300,,41150,,26500,,21950,,19250,,18650,,18050,,13350,,11400,,8500,,6950,,5300,,3650,,1700,,500,[=>],[85+],,[85+],,[85+],,-
,,,30 VI 1972,,Cdf,C,412619,9768,,40431,,58618,,55085,,50430,,39677,,26970,,21495,,20470,,17681,,18441,,13209,,12464,,9574,,6962,,5042,,3041,,1725,,1094,[=>],[85+],,[85+],,[85+],,442
,,,1 VII 1973,,Edf,C,417210,9044,,38738,,57986,,55931,,50669,,42040,,29570,,21143,,21168,,17418,,18995,,13659,,12548,,9698,,7249,,5470,,3482,,1815,,587,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1974,,Edf,C,423005,10339,,37847,,55186,,57243,,51597,,44140,,30527,,22187,,21076,,17605,,18919,,14691,,12070,,10696,,7410,,5405,,3604,,1911,,552,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1975,,Edf,C,428932,10489,,37690,,53485,,58038,,52601,,44923,,31980,,23358,,21332,,18126,,18667,,15982,,11760,,11125,,7471,,5554,,3704,,2085,,562,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1976,,Edf,C,434830,10266,,38560,,50669,,59292,,52852,,45360,,35609,,24526,,20907,,18735,,17782,,17056,,12328,,11044,,7885,,5508,,3801,,2071,,579,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1977,,Edf,C,442817,10608,,39273,,49179,,58121,,54067,,47554,,37815,,26116,,20886,,19911,,17207,,17658,,12441,,11384,,8398,,5691,,3828,,2038,,642,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1978,,Edf,C,451172,11240,,40968,,46958,,57478,,54945,,48056,,40433,,29034,,20672,,20649,,17010,,18199,,12840,,11512,,8492,,5880,,3929,,2205,,672,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1979,,Edf,C,462413,11863,,41930,,47616,,54973,,56392,,48899,,43543,,30790,,22083,,20919,,17578,,18291,,13650,,11174,,9617,,6181,,3828,,2369,,717,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1980,,Edf,C,471547,12102,,42979,,47622,,53285,,57382,,50471,,44224,,32667,,23202,,21125,,18167,,18251,,14998,,11168,,10280,,6216,,4112,,2444,,852,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1981,,Edf,C,479802,11359,,44873,,48006,,50668,,58476,,51391,,44375,,36131,,24949,,21165,,18831,,17739,,16069,,11431,,10234,,6660,,4097,,2538,,810,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1982,,Edf,C,484500,11003,,45809,,48775,,48961,,57325,,52082,,45683,,37738,,26331,,20732,,19504,,16918,,16712,,11345,,10567,,7366,,4265,,2564,,820,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1983,,Edf,C,489000,9855,,45910,,51219,,46689,,56965,,52730,,45722,,39535,,28948,,19931,,20070,,16491,,16955,,11701,,10607,,7594,,4551,,2576,,951,[=>],[85+],,[85+],,[85+],,-
,,,2 VII 1983,,Cdf,C,485495,9820,,45365,,51668,,46676,,56294,,52223,,44677,,38678,,27827,,20512,,19550,,16039,,17517,,12705,,10001,,7044,,4579,,2511,,1556,[=>],[85+],,[85+],,[85+],,253
,,,1 VII 1984,,Edf,C,488780,9368,,43692,,52484,,46678,,53987,,53953,,45671,,39800,,29441,,22264,,19403,,16320,,16695,,13301,,9721,,7281,,4495,,2670,,1556,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1985,,Edf,C,491310,9027,,40612,,53959,,46895,,52013,,54307,,46990,,40211,,30401,,23496,,19683,,16899,,16411,,14212,,9725,,7561,,4527,,2735,,1646,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1986,,Edf,C,496192,8712,,38322,,55159,,46862,,49177,,55380,,47186,,41309,,34147,,24819,,19901,,17591,,15888,,15153,,9843,,7604,,4648,,2803,,1688,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1987,,Edf,C,502573,8935,,36042,,56407,,47483,,47281,,54705,,49508,,43385,,35627,,25899,,19660,,19089,,15480,,15306,,10682,,8025,,4533,,2778,,1748,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1988,,Edf,C,509886,9535,,35580,,54623,,50520,,46186,,52974,,50703,,44284,,38188,,26977,,20966,,19853,,15479,,15075,,11337,,7988,,5020,,2666,,1932,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1989,,Edf,C,516186,10021,,36103,,52299,,52299,,46417,,51462,,51580,,44906,,39286,,27741,,22837,,20126,,15502,,15254,,12297,,7816,,5640,,2558,,2042,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1991,,Edj,C,518612,48239,[=>],[0-4],,46277,,54686,,46821,,46453,,51790,,45251,,39539,,32642,,23142,,18766,,16606,,15067,,13465,,8417,,5905,,3265,,2281,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1993,,Edj,C,530211,10747,,40669,,44221,,53415,,50180,,43293,,50043,,47019,,41131,,36422,,26317,,18867,,17840,,14399,,14340,,9141,,6312,,3351,,2504,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1994,,Edj,C,538231,10255,,41631,,44991,,51324,,51675,,44450,,48469,,48573,,42379,,37789,,27536,,20173,,17773,,14666,,14301,,9870,,6193,,3676,,2507,[=>],[85+],,[85+],,[85+],,-
,,Urban - Urbaine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30 VI 1972,Cdf,C,364678,7189,,30906,,49316,,48292,,45207,,34993,,24406,,20450,,19638,,17535,,18039,,12629,,11720,,8958,,6313,,4237,,2422,,1382,,812,[=>],[85+],,[85+],,[85+],,234
,,,,2 VII 1983,Cdf,C,403251,7715,,34918,,38428,,34774,,45953,,44736,,38215,,32585,,23946,,18992,,17978,,15531,,16028,,11375,,8866,,6170,,3741,,1954,,1176,[=>],[85+],,[85+],,[85+],,170
,,,Male - Masculin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30 VI 1972,Cdf,C,180465,3609,,15590,,24829,,24488,,22475,,17289,,11791,,10078,,9760,,8872,,9264,,6475,,5735,,4227,,2812,,1729,,781,,414,,153,[=>],[85+],,[85+],,[85+],,94
,,,,2 VII 1983,Cdf,C,199573,3929,,17633,,19367,,17616,,23031,,22627,,19116,,16312,,11694,,9293,,8814,,7793,,7876,,5498,,4026,,2573,,1385,,601,,257,[=>],[85+],,[85+],,[85+],,132
,,,Female - Féminin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30 VI 1972,Cdf,C,184213,3580,,15316,,24487,,23804,,22732,,17704,,12615,,10372,,9878,,8663,,8775,,6154,,5985,,4731,,3501,,2508,,1641,,968,,659,[=>],[85+],,[85+],,[85+],,140
,,,,2 VII 1983,Cdf,C,203678,3786,,17285,,19061,,17158,,22922,,22109,,19099,,16273,,12252,,9699,,9164,,7738,,8152,,5877,,4840,,3597,,2356,,1353,,919,[=>],[85+],,[85+],,[85+],,38
,,Rural - Rurale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30 VI 1972,Cdf,C,461521,12342,,51023,,69274,,62943,,55449,,44834,,28768,,22213,,21583,,18456,,20541,,15115,,13361,,9829,,6716,,4478,,2303,,1109,,567,[=>],[85+],,[85+],,[85+],,617
,,,,2 VII 1983,Cdf,C,563612,12080,,56643,,65728,,60033,,67772,,60564,,51170,,45323,,30836,,21472,,20857,,16667,,18770,,13208,,9793,,6107,,3556,,1715,,827,[=>],[85+],,[85+],,[85+],,491
,,,Male - Masculin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30 VI 1972,Cdf,C,233115,6154,,25908,,35143,,31662,,27751,,22861,,14413,,11090,,10991,,9438,,10875,,8060,,6882,,4986,,3255,,1944,,903,,352,,132,[=>],[85+],,[85+],,[85+],,315
,,,,2 VII 1983,Cdf,C,281795,6046,,28563,,33121,,30515,,34400,,30450,,25592,,22918,,15261,,10659,,10471,,8366,,9405,,6380,,4632,,2660,,1333,,557,,190,[=>],[85+],,[85+],,[85+],,276
,,,Female - Féminin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30 VI 1972,Cdf,C,228406,6188,,25115,,34131,,31281,,27698,,21973,,14355,,11123,,10592,,9018,,9666,,7055,,6479,,4843,,3461,,2534,,1400,,757,,435,[=>],[85+],,[85+],,[85+],,302
,,,,2 VII 1983,Cdf,C,281817,6034,,28080,,32607,,29518,,33372,,30114,,25578,,22405,,15575,,10813,,10386,,8301,,9365,,6828,,5161,,3447,,2223,,1158,,637,[=>],[85+],,[85+],,[85+],,215
,"Mauritius, Rodrigues - Maurice, Rodrigues",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,29 VI 1952,,Cdf,C,13333,483,,1647,,2150,,2076,,1381,,877,,768,,695,,716,,665,,536,,358,,291,,250,,185,,124,,60,,32,,15,[=>],[85+],,[85+],,[85+],,24
,,,30 VI 1962,,Cdf,C,18335,793,,2727,,2571,,2019,,1830,,1702,,1364,,1101,,862,,792,,643,,596,,481,,319,,220,,173,,70,,39,,29,[=>],[85+],,[85+],,[85+],,4
,,,1 VII 1969,,Edf,C,22659,4350,[=>],[0-4],,3179,,2495,,2262,,2105,,1687,,1360,,1065,,979,,795,,736,,595,,395,,272,,214,,86,,48,,36,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1971,,Edf,C,24266,4659,[=>],[0-4],,3403,,2671,,2422,,2254,,1806,,1457,,1142,,1048,,851,,789,,637,,422,,292,,230,,92,,52,,39,[=>],[85+],,[85+],,[85+],,-
,,,30 VI 1972,,Cdf,C,24769,944,,3595,,4100,,3321,,2332,,1791,,1566,,1500,,1240,,983,,756,,621,,594,,501,,357,,230,,115,,62,,43,[=>],[85+],,[85+],,[85+],,118
,,,1 VII 1973,,Edf,C,25367,4671,[=>],[0-4],,4219,,3418,,2400,,1843,,1611,,1544,,1276,,1012,,777,,639,,611,,516,,367,,237,,118,,108,[=>],[80+],,[80+],,[80+],,[80+],,-
,,,1 VII 1974,,Edf,C,25709,4733,[=>],[0-4],,4276,,3463,,2432,,1867,,1633,,1565,,1293,,1025,,789,,648,,620,,523,,373,,240,,120,,109,[=>],[80+],,[80+],,[80+],,[80+],,-
,,,1 VII 1975,,Edf,C,26343,4851,[=>],[0-4],,4381,,3548,,2493,,1914,,1673,,1603,,1325,,1050,,807,,664,,635,,536,,382,,246,,123,,112,[=>],[80+],,[80+],,[80+],,[80+],,-
,,,1 VII 1976,,Edf,C,26539,4886,[=>],[0-4],,4413,,3576,,2511,,1927,,1687,,1615,,1335,,1058,,813,,669,,640,,539,,385,,248,,124,,113,[=>],[80+],,[80+],,[80+],,[80+],,-
,,,1 VII 1977,,Edf,C,27058,4982,[=>],[0-4],,4499,,3644,,2560,,1966,,1719,,1648,,1361,,1078,,829,,681,,652,,551,,393,,253,,126,,116,[=>],[80+],,[80+],,[80+],,[80+],,-
,,,1 VII 1978,,Edf,C,27842,5126,[=>],[0-4],,4630,,3750,,2635,,2022,,1769,,1695,,1400,,1109,,853,,701,,672,,566,,404,,260,,130,,120,[=>],[80+],,[80+],,[80+],,[80+],,-
,,,1 VII 1979,,Edf,C,29203,5376,[=>],[0-4],,4856,,3934,,2764,,2121,,1855,,1778,,1469,,1164,,895,,735,,704,,594,,424,,273,,136,,125,[=>],[80+],,[80+],,[80+],,[80+],,-
,,,1 VII 1980,,Edf,C,30275,5573,[=>],[0-4],,5034,,4077,,2866,,2199,,1924,,1844,,1522,,1206,,927,,762,,730,,617,,439,,283,,142,,130,[=>],[80+],,[80+],,[80+],,[80+],,-
,,,1 VII 1981,,Edf,C,31799,5854,[=>],[0-4],,5288,,4283,,3009,,2309,,2021,,1937,,1599,,1267,,974,,801,,767,,647,,461,,297,,149,,136,[=>],[80+],,[80+],,[80+],,[80+],,-
,,,1 VII 1982,,Edf,C,33649,6196,[=>],[0-4],,5595,,4533,,3184,,2444,,2138,,2048,,1693,,1341,,1031,,847,,811,,685,,488,,314,,157,,144,[=>],[80+],,[80+],,[80+],,[80+],,-
,,,1 VII 1983,,Edf,C,35204,6482,[=>],[0-4],,5854,,4742,,3331,,2557,,2236,,2143,,1771,,1403,,1079,,887,,848,,716,,511,,329,,165,,150,[=>],[80+],,[80+],,[80+],,[80+],,-
,,,2 VII 1983,,Cdf,C,33082,1095,,4549,,4905,,4189,,3897,,2966,,2281,,1616,,1504,,1430,,1167,,917,,756,,582,,470,,353,,190,,103,,42,[=>],[85+],,[85+],,[85+],,70
,,,1 VII 1984,,Edf,C,34079,1130,,4696,,5064,,4325,,4023,,3061,,2355,,1669,,1553,,1476,,1204,,947,,781,,601,,485,,364,,196,,106,,43,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1985,,Edf,C,35039,1162,,4828,,5206,,4447,,4137,,3147,,2421,,1717,,1597,,1517,,1238,,975,,803,,618,,499,,373,,201,,109,,44,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1986,,Edf,C,35588,1180,,4904,,5288,,4517,,4202,,3196,,2459,,1744,,1622,,1541,,1257,,990,,815,,628,,506,,379,,205,,111,,44,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1987,,Edf,C,36537,1211,,5035,,5429,,4638,,4314,,3281,,2525,,1791,,1666,,1582,,1290,,1017,,837,,645,,519,,389,,210,,113,,45,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1989,,Edf,C,37046,1229,,5105,,5504,,4703,,4374,,3326,,2560,,1816,,1688,,1603,,1309,,1032,,849,,654,,526,,395,,213,,115,,45,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1991,,Edj,C,34321,3927,[=>],[0-4],,4593,,5077,,4116,,3241,,2576,,2262,,1645,,1329,,1313,,1247,,937,,688,,502,,389,,251,,156,,72,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1993,,Edj,C,34495,660,,3056,,4073,,5175,,4475,,3355,,2600,,2160,,1870,,1324,,1264,,1289,,1000,,756,,547,,373,,270,,159,,89,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1994,,Edj,C,34661,715,,2863,,3943,,5176,,4585,,3564,,2536,,2129,,1916,,1427,,1209,,1280,,1043,,799,,549,,385,,294,,139,,109,[=>],[85+],,[85+],,[85+],,-
,,Male - Masculin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,29 VI 1952,,Cdf,C,5947,234,,862,,1059,,1008,,579,,180,,219,,253,,304,,308,,282,,171,,150,,121,,93,,68,,27,,11,,7,[=>],[85+],,[85+],,[85+],,11
,,,30 VI 1962,,Cdf,C,9062,379,,1387,,1277,,1041,,909,,796,,665,,558,,412,,394,,302,,302,,242,,148,,105,,76,,36,,19,,12,[=>],[85+],,[85+],,[85+],,2
,,,1 VII 1969,,Edf,C,11113,2166,[=>],[0-4],,1567,,1277,,1115,,977,,816,,684,,505,,483,,370,,370,,297,,182,,129,,93,,44,,23,,15,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1971,,Edf,C,11891,2318,[=>],[0-4],,1676,,1366,,1193,,1045,,873,,732,,541,,517,,396,,396,,318,,194,,138,,100,,47,,25,,16,[=>],[85+],,[85+],,[85+],,-
,,,30 VI 1972,,Cdf,C,12270,483,,1784,,2064,,1660,,1136,,901,,767,,716,,622,,511,,396,,315,,283,,233,,160,,102,,50,,20,,14,[=>],[85+],,[85+],,[85+],,53
,,,1 VII 1973,,Edf,C,12538,2327,[=>],[0-4],,2118,,1704,,1166,,925,,787,,735,,638,,525,,406,,323,,290,,239,,164,,105,,51,,35,[=>],-,,[...],,[...],,[...],,-
,,,1 VII 1974,,Edf,C,12725,2361,[=>],[0-4],,2150,,1729,,1183,,938,,799,,746,,648,,532,,413,,328,,295,,243,,167,,106,,52,,35,[=>],[80+],,[80+],,[80+],,[80+],,-
,,,1 VII 1975,,Edf,C,13030,2418,[=>],[0-4],,2201,,1770,,1212,,961,,818,,764,,663,,545,,422,,336,,302,,249,,171,,109,,53,,36,[=>],[80+],,[80+],,[80+],,[80+],,-
,,,1 VII 1976,,Edf,C,13023,2416,[=>],[0-4],,2200,,1770,,1211,,960,,818,,763,,663,,545,,422,,336,,302,,248,,171,,109,,53,,36,[=>],[80+],,[80+],,[80+],,[80+],,-
,,,1 VII 1977,,Edf,C,13202,2450,[=>],[0-4],,2230,,1794,,1227,,974,,829,,774,,672,,552,,428,,340,,306,,252,,173,,110,,54,,37,[=>],[80+],,[80+],,[80+],,[80+],,-
,,,1 VII 1978,,Edf,C,13536,2512,[=>],[0-4],,2287,,1839,,1259,,998,,850,,793,,689,,566,,439,,349,,314,,258,,177,,113,,55,,38,[=>],[80+],,[80+],,[80+],,[80+],,-
,,,1 VII 1979,,Edf,C,14277,2649,[=>],[0-4],,2412,,1940,,1328,,1053,,896,,837,,727,,597,,463,,368,,331,,272,,187,,119,,58,,40,[=>],[80+],,[80+],,[80+],,[80+],,-
,,,1 VII 1980,,Edf,C,14612,2711,[=>],[0-4],,2469,,1985,,1359,,1078,,917,,856,,744,,611,,474,,377,,338,,279,,191,,122,,60,,41,[=>],[80+],,[80+],,[80+],,[80+],,-
,,,1 VII 1981,,Edf,C,15435,2864,[=>],[0-4],,2608,,2097,,1435,,1138,,969,,905,,786,,646,,500,,398,,358,,294,,202,,129,,63,,43,[=>],[80+],,[80+],,[80+],,[80+],,-
,,,1 VII 1982,,Edf,C,16450,3053,[=>],[0-4],,2779,,2235,,1530,,1213,,1033,,964,,838,,688,,533,,424,,381,,314,,215,,137,,67,,46,[=>],[80+],,[80+],,[80+],,[80+],,-
,,,1 VII 1983,,Edf,C,17239,3199,[=>],[0-4],,2912,,2342,,1603,,1271,,1082,,1010,,878,,721,,559,,445,,399,,329,,226,,144,,71,,48,[=>],[80+],,[80+],,[80+],,[80+],,-
,,,2 VII 1983,,Cdf,C,16552,560,,2272,,2433,,2127,,1958,,1467,,1160,,850,,766,,703,,584,,484,,373,,293,,221,,140,,78,,39,,10,[=>],[85+],,[85+],,[85+],,34
,,,1 VII 1984,,Edf,C,17120,580,,2355,,2522,,2205,,2029,,1520,,1202,,881,,794,,729,,605,,502,,387,,304,,229,,145,,81,,40,,10,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1985,,Edf,C,17751,601,,2442,,2615,,2286,,2104,,1576,,1246,,914,,823,,756,,627,,521,,401,,315,,238,,150,,84,,42,,10,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1986,,Edf,C,18070,612,,2486,,2662,,2327,,2142,,1604,,1268,,930,,838,,770,,638,,530,,408,,321,,242,,153,,86,,43,,10,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1987,,Edf,C,18673,632,,2569,,2751,,2405,,2213,,1658,,1310,,961,,866,,796,,659,,548,,422,,332,,250,,158,,89,,44,,10,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1989,,Edf,C,19034,645,,2618,,2804,,2451,,2256,,1690,,1335,,979,,882,,811,,672,,559,,431,,339,,255,,161,,91,,45,,10,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1991,,Edj,C,17130,2006,[=>],[0-4],,2280,,2551,,2055,,1670,,1257,,1136,,835,,701,,643,,615,,462,,349,,237,,166,,104,,50,,13,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1993,,Edj,C,17191,334,,1567,,2032,,2584,,2220,,1739,,1299,,1040,,959,,677,,631,,627,,487,,393,,249,,169,,105,,56,,23,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1994,,Edj,C,17264,354,,1483,,1965,,2547,,2322,,1824,,1274,,1003,,998,,723,,620,,616,,509,,405,,252,,182,,112,,45,,30,[=>],[85+],,[85+],,[85+],,-
,,Female - Féminin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,29 VI 1952,,Cdf,C,7386,249,,785,,1091,,1068,,802,,697,,549,,442,,412,,357,,254,,187,,141,,129,,92,,56,,33,,21,,8,[=>],[85+],,[85+],,[85+],,13
,,,30 VI 1962,,Cdf,C,9273,414,,1340,,1294,,978,,921,,906,,699,,543,,450,,398,,341,,294,,239,,171,,115,,97,,34,,20,,17,[=>],[85+],,[85+],,[85+],,2
,,,1 VII 1969,,Edf,C,11546,2184,[=>],[0-4],,1612,,1218,,1147,,1128,,871,,676,,560,,496,,425,,366,,298,,213,,143,,121,,42,,25,,21,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1971,,Edf,C,12375,2341,[=>],[0-4],,1727,,1305,,1229,,1209,,933,,725,,601,,531,,455,,393,,319,,228,,154,,130,,45,,27,,23,[=>],[85+],,[85+],,[85+],,-
,,,30 VI 1972,,Cdf,C,12499,461,,1811,,2036,,1661,,1196,,890,,799,,784,,618,,472,,360,,306,,311,,268,,197,,128,,65,,42,,29,[=>],[85+],,[85+],,[85+],,65
,,,1 VII 1973,,Edf,C,12829,2344,[=>],[0-4],,2101,,1714,,1234,,918,,824,,809,,638,,487,,371,,316,,321,,277,,203,,132,,67,,73,,-,,[85+],,[85+],,[85+],,-
,,,1 VII 1974,,Edf,C,12984,2372,[=>],[0-4],,2126,,1734,,1249,,929,,834,,819,,645,,493,,376,,320,,325,,280,,206,,134,,68,,74,[=>],[80+],,[80+],,[80+],,[80+],,-
,,,1 VII 1975,,Edf,C,13313,2433,[=>],[0-4],,2180,,1778,,1281,,953,,855,,839,,662,,505,,385,,328,,333,,287,,211,,137,,70,,76,[=>],[80+],,[80+],,[80+],,[80+],,-
,,,1 VII 1976,,Edf,C,13516,2470,[=>],[0-4],,2213,,1806,,1300,,967,,869,,852,,672,,513,,391,,333,,338,,291,,214,,139,,71,,77,[=>],[80+],,[80+],,[80+],,[80+],,-
,,,1 VII 1977,,Edf,C,13856,2532,[=>],[0-4],,2269,,1850,,1333,,992,,890,,874,,689,,526,,401,,341,,346,,299,,220,,143,,72,,79,[=>],[80+],,[80+],,[80+],,[80+],,-
,,,1 VII 1978,,Edf,C,14306,2614,[=>],[0-4],,2343,,1911,,1376,,1024,,919,,902,,711,,543,,414,,352,,358,,308,,227,,147,,75,,82,[=>],[80+],,[80+],,[80+],,[80+],,-
,,,1 VII 1979,,Edf,C,14926,2727,[=>],[0-4],,2444,,1994,,1436,,1068,,959,,941,,742,,567,,432,,367,,373,,322,,237,,154,,78,,85,[=>],[80+],,[80+],,[80+],,[80+],,-
,,,1 VII 1980,,Edf,C,15663,2862,[=>],[0-4],,2565,,2092,,1507,,1121,,1007,,988,,778,,595,,453,,385,,392,,338,,248,,161,,82,,89,[=>],[80+],,[80+],,[80+],,[80+],,-
,,,1 VII 1981,,Edf,C,16364,2990,[=>],[0-4],,2680,,2186,,1574,,1171,,1052,,1032,,813,,621,,474,,403,,409,,353,,259,,168,,86,,93,[=>],[80+],,[80+],,[80+],,[80+],,-
,,,1 VII 1982,,Edf,C,17199,3143,[=>],[0-4],,2816,,2298,,1654,,1231,,1105,,1084,,855,,653,,498,,423,,430,,371,,273,,177,,90,,98,[=>],[80+],,[80+],,[80+],,[80+],,-
,,,1 VII 1983,,Edf,C,17965,3283,[=>],[0-4],,2942,,2400,,1728,,1286,,1154,,1133,,893,,682,,520,,442,,449,,387,,285,,185,,94,,102,[=>],[80+],,[80+],,[80+],,[80+],,-
,,,2 VII 1983,,Cdf,C,16530,535,,2277,,2472,,2062,,1939,,1499,,1121,,766,,738,,727,,583,,433,,383,,289,,249,,213,,112,,64,,32,[=>],[85+],,[85+],,[85+],,36
,,,1 VII 1984,,Edf,C,16959,550,,2341,,2542,,2120,,1994,,1541,,1153,,788,,759,,747,,599,,445,,394,,297,,256,,219,,115,,66,,33,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1985,,Edf,C,17288,561,,2386,,2591,,2161,,2033,,1571,,1175,,803,,774,,761,,611,,454,,402,,303,,261,,223,,117,,67,,34,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1986,,Edf,C,17518,568,,2418,,2626,,2190,,2060,,1592,,1191,,814,,784,,771,,619,,460,,407,,307,,264,,226,,119,,68,,34,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1987,,Edf,C,17864,579,,2466,,2678,,2233,,2101,,1623,,1215,,830,,800,,786,,631,,469,,415,,313,,269,,231,,121,,69,,35,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1989,,Edf,C,18012,584,,2487,,2700,,2252,,2118,,1636,,1225,,837,,806,,792,,637,,473,,418,,315,,271,,234,,122,,70,,35,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1991,,Edj,C,17191,1921,[=>],[0-4],,2313,,2526,,2061,,1571,,1319,,1126,,810,,628,,670,,632,,475,,339,,265,,223,,147,,106,,59,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1993,,Edj,C,17304,326,,1489,,2041,,2591,,2255,,1616,,1301,,1120,,911,,647,,633,,662,,513,,363,,298,,204,,165,,103,,66,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1994,,Edj,C,17397,361,,1380,,1978,,2629,,2263,,1740,,1262,,1126,,918,,704,,589,,664,,534,,394,,297,,203,,182,,94,,79,[=>],[85+],,[85+],,[85+],,-
,Morocco - Maroc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
